family,genus,species,status,type,prevalence,typedetailled,EEO,pfamily,pspecie,,region,reference,,host
Indriidae,Avahi,laniger,VU,helminth,,cestode,96126,Anoplocephalidae,Bertiella, lemuriformis,Tsiombokibo Classified Forest,"Junge et al., 2005",Biomedical,Avahi_laniger
Indriidae,Propithecus,verreauxi,CR,helminth,,cestode,131892,Anoplocephalidae,Bertiella,lemuriformis,Kirindy Mitea,"Rasambainarivo et al., 2014",Biomedical,Propithecus_verreauxi
Indriidae,Propithecus,tattersalli,CR,helminth,,nematode,1919,none,none,,Daraina,"Peg-Kirjian et al., 2021",Biomedical,Propithecus_tattersalli
Lemuridae,Eulemur,ruffifrons,VU,helminth,,nematode,138438,Oxyuridae,Lemuricola,sp.,Kirindy,"Springer & Kappeler, 2016",,Eulemur_rufifrons
Lemuridae,Eulemur,ruffifrons,VU,helminth,,nematode,138438,Oxyuridae,Callistoura,sp.,Kirindy,"Springer & Kappeler, 2016",,Eulemur_rufifrons
Lemuridae,Eulemur,ruffifrons,VU,helminth,,cestode,138438,Anoplocephalidae,Anoplocephalidae,,Kirindy,"Springer & Kappeler, 2017",,Eulemur_rufifrons
Lemuridae,Eulemur,ruffifrons,VU,helminth,,trematode,138438,Dicrocoeliidae,Dicrocoeliidae,,Kirindy,"Springer & Kappeler, 2018",,Eulemur_rufifrons
Lemuridae,Eulemur,ruffifrons,VU,protozoa,,protozoan,138438,Entamoebidae,Entamoeba,,Kirindy,"Springer & Kappeler, 2019",,Eulemur_rufifrons
Lemuridae,Eulemur,ruffifrons,VU,helminth,,nematode,138438,Tristrongylidae,Tristrongylidae,sp.,Kirindy,"Springer & Kappeler, 2016",,Eulemur_rufifrons
Lemuridae,Eulemur,ruffifrons,VU,protozoa,,protozoan,138438,Balantidiidae,Balantidium,sp.,Kirindy,"Springer & Kappeler, 2016",,Eulemur_rufifrons
Lemuridae,Eulemur,ruffifrons,VU,helminth,,nematode,138438,strongylidae,strongylidae,sp.,Kirindy,"Clough, 2010",,Eulemur_rufifrons
Lemuridae,Eulemur,ruffifrons,VU,helminth,,nematode,138438,Trichuridae,Trichuris,sp.,Kirindy,"Clough, 2010",,Eulemur_rufifrons
Lemuridae,Eulemur,flavifrons,CR,helminth,,nematode,4071,Oxyuridae,Lemuricola,sp.,Sahamalaza,"Schwitzer et al., 2010",,Eulemur_flavifrons
Lemuridae,Eulemur,flavifrons,CR,helminth,,nematode,4071,Oxyuridae,Callistoura,sp.,Sahamalaza,"Schwitzer et al., 2010",,Eulemur_flavifrons
Lemuridae,Eulemur,macaco,EN,helminth,,nematode,11732,Oxyuridae,Lemuricola,sp.,Reserve lokobe,"Jung et al., 2007",Biomedical,Eulemur_macaco
Lemuridae,Eulemur,macaco,EN,helminth,,nematode,11732,Oxyuridae,Callistoura,sp.,Reserve lokobe,"Jung et al., 2007",Biomedical,Eulemur_macaco
Lemuridae,Eulemur,macaco,EN,helminth,,nematode,11732,Oxyuridae,Lemuricola,lemuris,,"Baer, 1935",,Eulemur_macaco
Lemuridae,Hapalemur,griseus,VU,helminth,,nematode,265567,strongylidae,strongylidae,sp.,,"Jung et al., 2008",,Hapalemur_griseus
Lemuridae,Prolemur,simus,CR,helminth,,nematode,30552,strongylidae,strongylidae,sp.,,"Jung et al., 2009",,Prolemur_simus
Lemuridae,Eulemur,fulvus,VU,helminth,,nematode,170182,Oxyuridae,Lemuricola,vauceli,Ampijoroa,"Chabau et al., 1965",,Eulemur_fulvus
Lemuridae,Eulemur,fulvus,VU,helminth,,nematode,170182,Oxyuridae,Lemuricola,baltazardi,Ampijoroa,"Chabau et al., 1965",,Eulemur_fulvus
Lemuridae,Eulemur,fulvus,VU,helminth,,nematode,170182,Oxyuridae,Callistoura,blanci,Ampijoroa,"Chabau et al., 1965",,Eulemur_fulvus
Lemuridae,Prolemur,simus,CR,helminth,,nematode,30552,Oxyuridae,Lemuricola,bauchoti,Ambavaniasy,"Chabau et al., 1965",,Prolemur_simus
Lemuridae,Eulemur,macaco,EN,helminth,,nematode,11732,Oxyuridae,Callistoura,brygooi,Nosi-be,"Chabau et al., 1965",,Eulemur_macaco
Lemuridae,Hapalemur,griseus,VU,helminth,,nematode,265567,strongylidae,Lemurostrongylus,sp.,Analamazaotra,"Chabau et al., 1961",,Hapalemur_griseus
Lemuridae,Eulemur,fulvus,VU,helminth,,nematode,170182,strongylidae,Lemurostrongylus,sp.,,"Junge and Sauther, 2006",,Eulemur_fulvus
Lemuridae,Varecia,rubra,CR,helminth,,nematode,6423,strongylidae,Lemurostrongylus,sp.,Masoala,"Dutton et al., in press",Biomedical,Varecia_rubra
Lemuridae,Varecia,variegata,CR,helminth,,nematode,99202,strongylidae,Lemurostrongylus,sp.,,"Faulkner et al., 2004",,Varecia_variegata_variegata
Lemuridae,Eulemur,rubriventer,VU,helminth,,nematode,142826,strongylidae,Lemurostrongylus,sp.,,"Hogg, 2002",,Eulemur_rubriventer
Lemuridae,Eulemur,rubriventer,VU,helminth,,trematode,142826,Fasciolidae,Fasciola,,,,,Eulemur_rubriventer
Lemuridae,Prolemur,simus,CR,helminth,,nematode,30552,strongylidae,Lemurostrongylus,sp.,,"Hogg, 2002",,Prolemur_simus
Lemuridae,Hapalemur,aureus,CR,helminth,,nematode,4385,strongylidae,Lemurostrongylus,sp.,,"Hogg, 2002",,Hapalemur_aureus
Lemuridae,Varecia,variegata,CR,helminth,,nematode,99202,Tristrongylidae,Pararhabdonema,longistriata,,"Chabau et al., 1965",,Varecia_variegata_variegata
Lemuridae,Eulemur,fulvus,VU,helminth,,nematode,170182,Tristrongylidae,Pararhabdonema,longistriata,,"Chabau et al., 1965",,Eulemur_fulvus
Lemuridae,Eulemur,albifrons,VU,helminth,,nematode,49901,Tristrongylidae,Pararhabdonema,longistriata,,"Chabau et al., 1965",,Eulemur_albifrons
Lemuridae,Lemur,catta,EN,helminth,,nematode,115083,Coccidia,Coccidia,sp.,Bezaha Mahafaly,"loudon and Sauther, 2013",,Lemur_catta
Lemuridae,Lemur,catta,EN,helminth,,nematode,115083,Oxyuridae,Oxyuridae,sp.,Bezaha Mahafaly,"loudon and Sauther, 2013",,Lemur_catta
Lemuridae,Lemur,catta,EN,helminth,,nematode,115083,strongylidae,Lemurostrongylus,sp.,Bezaha Mahafaly,"loudon and Sauther, 2013",,Lemur_catta
Lemuridae,Lemur,catta,EN,helminth,,nematode,115083,Tristrongylidae,Tristrongyloides,,Bezaha Mahafaly,"loudon and Sauther, 2013",,Lemur_catta
Lemuridae,Lemur,catta,EN,helminth,,nematode,115083,Subuluridae,subulura,sp.,Bezaha Mahafaly,"loudon and Sauther, 2013",,Lemur_catta
Lemuridae,Lemur,catta,EN,helminth,,nematode,115083,Trichuridae,Trichuris,sp.,Bezaha Mahafaly,"loudon and Sauther, 2013",,Lemur_catta
Lemuridae,Eulemur,ruffifrons,VU,helminth,,nematode,138438,Trichuridae,Trichuris,sp.,Tsiombokibo Classified Forest,"Junge et al., 2005",Biomedical,Eulemur_rufifrons
Lemuridae,Eulemur,rubriventer,VU,helminth,,nematode,142826,,,,,"Hogg, 2002",,Eulemur_rubriventer
Lemuridae,Varecia,variegata,CR,helminth,,nematode,99202,Oxyuridae,Callistoura,,Ranomafana,"noromalala, 2022",,Varecia_variegata_variegata
Lemuridae,Varecia,variegata,CR,helminth,,nematode,99202,strongylidae,stronglyloides,,Ranomafana,"noromalala, 2022",,Varecia_variegata_variegata
Lemuridae,Varecia,variegata,CR,helminth,,nematode,99202,Oxyuridae,Callistoura,,,"faulkner et al., 2004",,Varecia_variegata_variegata
Lemuridae,Varecia,variegata,CR,protozoa,,protozoan,99202,coccidia,coccidia,,Ranomafana,"noromalala, 2022",,Varecia_variegata_variegata
Lemuridae,Varecia,variegata,CR,protozoa,,protozoan,99202,Balantidiidae,Balantidium,sp.,Ranomafana,"noromalala, 2022",,Varecia_variegata_variegata
Lemuridae,Varecia,variegata,CR,protozoa,,protozoan,99202,Entamoebidae,amebic,,Ranomafana,"noromalala, 2022",,Varecia_variegata_variegata
Lemuridae,Lemur,catta,EN,protozoa,,protozoan,115083,Entamoebidae,amebic,,Bezaha Mahafaly,"faulkner et al., 2004",,Lemur_catta
Lemuridae,Lemur,catta,EN,protozoa,,protozoan,115083,Coccidia,coccidia,,Bezaha Mahafaly,"loudon et al., 2006",,Lemur_catta
Lemuridae,Eulemur,ruffifrons,VU,helminth,,nematode,138438,strongylidae,Lemurostrongylus,,Tsiombokibo Classified Forest,"Junge et al., 2005",Biomedical,Eulemur_rufifrons
Lemuridae,Eulemur,fulvus,VU,helminth,,nematode,170182,Oxyuridae,Callistoura,,Mayotte,"Quitar et al., 2019",Biomedical,Eulemur_fulvus
Lemuridae,Eulemur,fulvus,VU,helminth,,nematode,170182,Oxyuridae,Lemuricola,,Mayotte,"Quitar et al., 2019",Biomedical,Eulemur_fulvus
Lepilemuridae,Lepilemur,edwardsi,EN,helminth,,nematode,10654,Ascarididae,Ascaris,sp.,Ankarafantsika,"Bethge et al., 2022",,Lepilemur_edwardsi
Lepilemuridae,Lepilemur,edwardsi,EN,helminth,,nematode,10654,strongylidae,strongylidae,sp.,Ankarafantsika,"Bethge et al., 2022",,Lepilemur_edwardsi
Lepilemuridae,Lepilemur,edwardsi,EN,helminth,,nematode,10654,Oxyuridae,Lemuricola,sp.,Ankarafantsika,"Bethge et al., 2022",,Lepilemur_edwardsi
Lepilemuridae,Lepilemur,edwardsi,EN,helminth,,nematode,10654,strongylidae,Lemurostrongylus,sp.,,"Junge and Sauther, 2006",,Lepilemur_edwardsi
Lepilemuridae,Lepilemur,ruficaudatus,CR,helminth,,nematode,23325,Tristrongylidae,Pararhabdonema,longistriata,,"Chabau and Choquet, 1955",,Lepilemur_ruficaudatus
Lepilemuridae,Lepilemur,microdon,EN,helminth,,nematode,159,Tristrongylidae,Pararhabdonema,longistriata,,"Chabau et al., 1965",,Lepilemur_microdon
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,,nematode,49307,Coccidia,Coccidia,,Mandena,"raharivololona et al., 2007",,Cheirogaleus_medius
Lemuridae,Eulemur ,rufifrons,VU,Protozoa,1,protozoan,,Balantidiidae,Balantidium,coli,kirindy,"Clough, D. 2010. Gastro-intestinal parasites of red-fronted lemurs in Kirindy Forest, Western Madagascar. Journal of Parasitology 96: 245-251.",,Eulemur _fulvus_rufus
Lemuridae,Eulemur ,rufifrons,VU,Protozoa,1,protozoan,,Balantidiidae,Balantidium,coli,kirindy,"Clough, D., Heistermann, M., and P. Kappeler. 2010. Host Intrinsic Determinants and Potential Consequences of Parasite Infection in Free-Ranging Red-Fronted Lemurs (Eulemur fulvus rufus). American Journal of Physical Anthropology 142:441-452",,Eulemur _fulvus_rufus
Lemuridae,Eulemur ,rufifrons,VU,Protozoa,1,protozoan,,Balantidiidae,Balantidium,coli,kirindy,"Clough, D., Heistermann, M., and P. Kappeler. 2010. Host Intrinsic Determinants and Potential Consequences of Parasite Infection in Free-Ranging Red-Fronted Lemurs (Eulemur fulvus rufus). American Journal of Physical Anthropology 142:441-452",,Eulemur _fulvus_rufus
Lemuridae,Eulemur ,macaco,EN,Helminth,,,,Colobenterobius,inglisi,,,"Chabaud, A. G., Brygoo E. R., and A.J. Petter. 1965. Les nematodes parasites de Lemuriens malgaches. VI. Description de six especes nouvelles et conclusions generales. Annales de Parasitologie 40 (2): 181-214.",,Eulemur _macaco_macaco
Indriidae,Propithecus,edwardsi,EN,Protozoa,0,protozoan,,Cryptosporidiidae,Cryptosporidium,sp.,Ranomafana,"Rasambainarivo, F. T., Gillespie, T. R., Wright, P. C., Arsenault, J., Villeneuve, A., & Lair, S. (2013). Survey of Giardia and Cryptosporidium in lemurs from the Ranomafana National Park, Madagascar. Journal of Wildlife Diseases, 49(3), 741-743.",,Propithecus_edwardsi
Lemuridae,Eulemur ,rubriventer,VU,Protozoa,0,protozoan,,Cryptosporidiidae,Cryptosporidium,sp.,Ranomafana,"Rasambainarivo, F. T., Gillespie, T. R., Wright, P. C., Arsenault, J., Villeneuve, A., & Lair, S. (2013). Survey of Giardia and Cryptosporidium in lemurs from the Ranomafana National Park, Madagascar. Journal of Wildlife Diseases, 49(3), 741-743.",,Eulemur _rubriventer
Lemuridae,Prolemur ,simus,CR,Protozoa,0.5,protozoan,,Cryptosporidiidae,Cryptosporidium,sp.,Ranomafana,"Rasambainarivo, F. T., Gillespie, T. R., Wright, P. C., Arsenault, J., Villeneuve, A., & Lair, S. (2013). Survey of Giardia and Cryptosporidium in lemurs from the Ranomafana National Park, Madagascar. Journal of Wildlife Diseases, 49(3), 741-743.",,Prolemur _simus
Cheirogaleidae,Microcebus,rufus,VU,Protozoa,0.5,protozoan,,Cryptosporidiidae,Cryptosporidium,sp.,Ranomafana,"Rasambainarivo, F. T., Gillespie, T. R., Wright, P. C., Arsenault, J., Villeneuve, A., & Lair, S. (2013). Survey of Giardia and Cryptosporidium in lemurs from the Ranomafana National Park, Madagascar. Journal of Wildlife Diseases, 49(3), 741-743.",,Microcebus_rufus
